name,affiliation,email_domain,interests,citedby,scholar_id
Philip LF. Liu,National University of Singapore,@nus.edu.sg,"['Coastal Engineering', 'water waves', 'coastal processes', 'tsunamis', 'coastal oceanography']",23403,Xs4JPWwAAAAJ
jorgen fredsoe,Prof. DTU,@mek.dtu.dk,"['Coastal Engineering', 'River Engineering', 'Offshore Engineering', 'Sediment Transport', 'Morphodynamics']",22969,r4qH-sIAAAAJ
James T Kirby,"EC Davis Professor of Civil Engineering, University of Delaware",@udel.edu,"['Physical Oceanography', 'Coastal Engineering']",20125,4_ChX5UAAAAJ
Costas Synolakis,"University of Southern California, Academy of Athens, Technical University of Crete",@usc.edu,"['coastal engineering', 'tsunamis', 'marine sciences', 'earthquakes', 'coastal erosion']",15932,Z5AxUbAAAAAJ
B. Mutlu Sumer,"Professor, BM SUMER Consultancy & Research",@bmsumer.com,"['coastal engineering', 'offshore engineering', 'hydraulics', 'turbulence sediment-transport scour', 'liquefaction']",15755,F3JYGzkAAAAJ
Dano JA Roelvink,"Professor of Coastal Engineering and Port Development, IHE Delft",@un-ihe.org,"['Coastal engineering', 'coastal morphology', 'numerical modeling']",15604,2n1IRXEAAAAJ
stephen monismith,"Professor of Civil and Environmental Engineering, Stanford University",@stanford.edu,"['Fluid mechanics', 'Physical Oceanography', 'Limnology', 'Coastal engineering']",14132,JKR4krMAAAAJ
QIN J CHEN,"Professor of Civil and Environmental Engineering, Louisiana State University",@lsu.edu,"['Coastal Engineering', 'Coastal Hydrodynamics', 'Nearshore Sediment Transport', 'Coastal Hazard Prediction and Mitigation', 'HPC']",13405,OnWwIh0AAAAJ
Dick KP Yue,MIT,@mit.edu,"['Wave hydrodynamics', 'ocean fluid mechanics', 'naval architecture', 'ocean engineering']",13439,cyJkf_YAAAAJ
金子新,Hiroshima University,@hiroshima-u.ac.jp,"['Coastal Acoustic Tomography', 'Physical Oceanography', 'Coastal Oceanography', 'Acoustical Oceanography', 'Ocean Fluid Mechanics']",2360,NXX2TFMAAAAJ
Adrian Bejan,"JA Jones Distinguished Professor of Mechanical Engineering, Duke University",@duke.edu,"['Design', 'Nature', 'Evolution', 'Thermodynamics', 'Heat Transfer']",86073,Inu2EBwAAAAJ
Jörg Henseler,"Professor, University of Twente, Enschede, NL; and NOVA IMS, Universidade Nova de …",@utwente.nl,"['Design', 'Marketing', 'Management', 'Structural Equation Modeling', 'PLS']",66342,YiLHdRMAAAAJ
yves pigneur,"professor, University of Lausanne (HEC)",@unil.ch,"['information systems', 'design', 'business model']",43118,VwC-1OwAAAAJ
Antony Jameson,"Professor of Aerospace Engineering, Texas A&M University",@tamu.edu,"['Computational Mechanics', 'Aerodynamics', 'Design']",40906,74eUkXgAAAAJ
Kenneth Salisbury,"Professor of Computer Science and Surgery, Stanford University",@robotics.stanford.edu,"['robotics-haptics', 'surgical-simulation', 'design', 'magic', 'flute']",39528,FmrDR68AAAAJ
